,Locations,March Europe,March Korea,March Japan,"YTD
Europe","YTD
Korea","YTD
Japan",Month,Year,latitude,longitude
263,Chinhae Navy,0.00,"1,64,604.25",0.00,0.00,"10,12,945.10",0.00,February,2023,,
264,Camp Mujuk Marines,0.00,"30,055.60",0.00,0.00,"1,51,648.45",0.00,February,2023,,
265,Camp Zama,0.00,0.00,0.00,0.00,0.00,0.00,February,2023,,
266,Fuji Marines,0.00,0.00,"50,922.40",0.00,0.00,"4,92,168.70",February,2023,,
267,Sanna Navy,0.00,0.00,"3,070.00",0.00,0.00,"12,974.50",February,2023,,
268,Atsugi Navy,0.00,0.00,"58,778.70",0.00,0.00,"4,37,665.20",February,2023,,
269,Okinawa,0.00,0.00,"1,24,585.85",0.00,0.00,"3,54,668.05",February,2023,26.212401,127.68093
270,Okinawa Marines,0.00,0.00,"7,523.00",0.00,0.00,"40,914.60",February,2023,,
271,Okinawa Navy,0.00,0.00,"10,32,893.60",0.00,0.00,"47,49,911.65",February,2023,,
272,Iwakuni Marines,0.00,0.00,"14,812.75",0.00,0.00,"1,31,966.90",February,2023,,
273,Sasebo Navy,0.00,0.00,"1,97,833.95",0.00,0.00,"7,01,898.25",February,2023,,
274,Yokosuka Navy,0.00,0.00,"1,55,075.85",0.00,0.00,"8,28,275.45",February,2023,,
275,Singapore Navy,0.00,0.00,"4,81,854.15",0.00,0.00,"20,66,110.70",February,2023,,
276,Total Gaming Revenue,"13,50,912.80",0.00,"5,274.00",0.00,0.00,"18,658.00",February,2023,,
277,Kaiserslautern,"4,98,058.30",0.00,0.00,"14,97,322.95",0.00,0.00,February,2024,,
278,Grafenwoehr,"1,56,954.40",0.00,0.00,"1,022,146 .40",0.00,0.00,February,2024,,
279,Wiesbaden,"3,59,909.50",0.00,0.00,"1,610,873 .50",0.00,0.00,February,2024,,
280,Vicenza,"1,28,838.90",0.00,0.00,"6,42,097.80",0.00,0.00,February,2024,45.545479,11.535421
281,Livorno,"4,168.70",0.00,0.00,"31,368.20",0.00,0.00,February,2024,43.548473,10.310567
282,Stuttgart,"2,19,750.65",0.00,0.00,"12,06,679.10",0.00,0.00,February,2024,48.775418,9.181759
283,Baumholder,"45,566.55",0.00,0.00,"282,553 .55",0.00,0.00,February,2024,49.613889,7.333333
284,Ansbach,"94,769.80",0.00,0.00,"3,42,685.08",0.00,0.00,February,2024,49.300425,10.571936
285,Brunssum,"14,652.40",0.00,0.00,"39,833 .60",0.00,0.00,February,2024,50.948896,5.972166
286,AFRC Edelweiss Lodge,"36,651.60",0.00,0.00,"1,25,601.88",0.00,0.00,February,2024,,
287,Hohenfels,"37,812.00",0.00,0.00,"1,76,671.10",0.00,0.00,February,2024,49.203278,11.849022
288,Naples Navy,"2,30,399.90",0.00,0.00,"6,51,676.30",0.00,0.00,February,2024,,
289,Sigonella Navy,"68,441.45",0.00,0.00,"3,45,082.00",0.00,0.00,February,2024,,
290,Rota Navy,"1,13,089.85",0.00,0.00,"4,69,780.40",0.00,0.00,February,2024,,
291,Souda Bay Navy,"8,438.00",0.00,0.00,"54,693 .70",0.00,0.00,February,2024,,
292,AFRC Dragon Hill Lodge,0.00,0.00,0.00,0.00,0.00,0.00,February,2024,,
293,Seoul,0.00,"2,14,813.15",0.00,0.00,"1,615,533 .05",0.00,February,2024,37.566535,126.97797
294,Casey &   Hovey,0.00,"17,701.60",0.00,0.00,"50,083 .00",0.00,February,2024,,
295,Camp Humphreys,0.00,"2,42,504.75",0.00,0.00,"1,126,897 .70",0.00,February,2024,,
296,Daegu,0.00,"11,14,846.85",0.00,0.00,"52,72,907.65",0.00,February,2024,,
297,Chinhae Navy,0.00,"2,71,698.20",0.00,0.00,"8,17,672.85",0.00,February,2024,,
298,Camp Zama,0.00,"3,050.00","1,07,783.80",0.00,"1,17,289.30","6,01,092.00",February,2024,,
299,Fuji Marines,0.00,0.00,"2,105.90",0.00,0.00,"21,380.45",February,2024,,
300,Sanna Navy,0.00,0.00,"1,03,403.15",0.00,0.00,"5,42,474.15",February,2024,,
301,Atsugi Navy,0.00,0.00,"1,85,761.15",0.00,0.00,"5,23,468.55",February,2024,,
302,Okinawa,0.00,0.00,"5,915.00",0.00,0.00,"35,230.70",February,2024,26.212401,127.68093
303,Okinawa Marines,0.00,0.00,"8,60,547.85",0.00,0.00,"50,80,992.00",February,2024,,
304,Okinawa Navy,0.00,0.00,"43,692.15",0.00,0.00,"2,55,157.80",February,2024,,
305,Iwakuni Marines,0.00,0.00,"1,67,129.80",0.00,0.00,"8,68,813.35",February,2024,,
306,Sasebo Navy,0.00,0.00,"1,64,649.60",0.00,0.00,"10,37,837.25",February,2024,,
307,Yokosuka Navy,0.00,0.00,"4,68,365.65",0.00,0.00,"21,82,048.65",February,2024,,
308,Singapore Navy,0.00,0.00,"2,031.05",0.00,0.00,"14,453.05",February,2024,,
309,Total Gaming Revenue,"20,17,502.00","18,64,614.55","21,11,385.10","84,99,065.56","90,00,383.55","1,11,62,947.95",February,2024,,
310,Kaiserslautern,"2,45,800.40",0,0,"16,07,114.40",0,0,March,2020,,
311,Grafenwoehr,"1,28,845.10",0.00,0.00,"10,66,236.50",0.00,0.00,March,2020,,
312,Wiesbaden,"2,35,314.15",0.00,0.00,"14,76,640.30",0.00,0.00,March,2020,,
313,Vicenza,"59,486.85",0.00,0.00,"4,06,448.85",0.00,0.00,March,2020,45.545479,11.535421
314,Livorno,0.00,0.00,0.00,"6,352.35",0.00,0.00,March,2020,43.548473,10.310567
315,Stuttgart,"1,01,290.40",0.00,0.00,"8,87,455.10",0.00,0.00,March,2020,48.775418,9.181759
316,Baumholder,"80,374.30",0.00,0.00,"3,35,735.60",0.00,0.00,March,2020,49.613889,7.333333
317,Ansbach,"52,778.55",0.00,0.00,"3,11,903.85",0.00,0.00,March,2020,49.300425,10.571936
318,Schinnen,"5,378.15",0.00,0.00,"46,341.55",0.00,0.00,March,2020,50.94028,5.87832
319,AFRC Edelweiss Lodge,554.95,0.00,0.00,"1,56,607.87",0.00,0.00,March,2020,,
320,Hohenfels,"51,961.80",0.00,0.00,"2,79,393.20",0.00,0.00,March,2020,49.203278,11.849022
321,Naples Navy,"76,427.70",0.00,0.00,"4,83,735.90",0.00,0.00,March,2020,,
322,Sigonella Navy,"41,358.80",0.00,0.00,"3,38,536.70",0.00,0.00,March,2020,,
323,Rota Navy,"51,681.70",0.00,0.00,"4,26,711.60",0.00,0.00,March,2020,,
324,Souda Bay Navy,0.00,0.00,0.00,"39,991.70",0.00,0.00,March,2020,,
325,AFRC Dragon Hill Lodge,0.00,0.00,0.00,0.00,0.00,0.00,March,2020,,
326,Seoul,0.00,"4,22,691.00",0.00,0.00,"27,78,852.30",0.00,March,2020,37.566535,126.97797
327,Casey &   Hovey,0.00,"49,154.40",0.00,0.00,"4,09,586.50",0.00,March,2020,,
328,Uijongbu,0.00,"1,81,025.45",0.00,0.00,"12,00,241.45",0.00,March,2020,,
329,Camp Humphreys,0.00,0.00,0.00,0.00,0.00,0.00,March,2020,,
330,Daegu,0.00,"9,39,905.63",0.00,0.00,"53,19,836.05",0.00,March,2020,,
331,Chinhae Navy,0.00,0.00,0.00,0.00,"14,44,530.50",0.00,March,2020,,
332,Camp Mujuk Marines,0.00,"41,025.51",0.00,0.00,"1,92,290.96",0.00,March,2020,,
333,Camp Zama,0.00,0.00,0.00,0.00,0.00,"8,69,277.20",March,2020,,
334,Fuji Marines,0.00,0.00,"1,64,627.60",0.00,0.00,"5,405.25",March,2020,,
335,Sanna Navy,0.00,0.00,399.25,0.00,0.00,"5,67,302.65",March,2020,,
336,Atsugi Navy,0.00,0.00,"70,306.25",0.00,0.00,"7,15,315.25",March,2020,,
337,Okinawa,0.00,0.00,"1,45,345.85",0.00,0.00,"36,284.00",March,2020,26.212401,127.68093
338,Okinawa Marines,0.00,0.00,"3,190.00",0.00,0.00,"65,03,541.30",March,2020,,
339,Okinawa Navy,0.00,0.00,"11,29,855.03",0.00,0.00,"1,84,093.50",March,2020,,
340,Iwakuni Marines,0.00,0.00,"28,132.75",0.00,0.00,"12,61,945.85",March,2020,,
341,Sasebo Navy,0.00,0.00,"1,96,239.00",0.00,0.00,"12,78,218.00",March,2020,,
342,Yokosuka Navy,0.00,0.00,"2,03,190.35",0.00,0.00,"27,26,485.10",March,2020,,
343,Singapore Navy,0.00,0.00,"4,35,183.60",0.00,0.00,"33,112.95",March,2020,,
344,Total Gaming Revenue,"11,31,252.85","16,33,801.99","23,76,469.68","78,69,205.47","1,13,45,337.76","1,41,80,981.05",March,2020,,
345,Kaiserslautern,0.00,0.00,0.00,"6,85,257.85",0.00,0.00,March,2021,,
346,Grafenwoehr,"1,62,384.15",0.00,0.00,"7,54,613.40",0.00,0.00,March,2021,,
347,Wiesbaden,"3,65,586.70",0.00,0.00,"6,62,119.70",0.00,0.00,March,2021,,
348,Vicenza,"67,193.10",0.00,0.00,"3,39,834.55",0.00,0.00,March,2021,45.545479,11.535421
349,Livorno,"7,787.00",0.00,0.00,"27,151.10",0.00,0.00,March,2021,43.548473,10.310567
350,Stuttgart,"1,83,324.40",0.00,0.00,"3,02,296.00",0.00,0.00,March,2021,48.775418,9.181759
351,Baumholder,0.00,0.00,0.00,"12,703.25",0.00,0.00,March,2021,49.613889,7.333333
352,Ansbach,"18,150.00",0.00,0.00,"1,01,724.00",0.00,0.00,March,2021,49.300425,10.571936
353,Schinnen,"6,488.40",0.00,0.00,"45,218.40",0.00,0.00,March,2021,50.94028,5.87832
354,AFRC Edelweiss Lodge,0.00,0.00,0.00,"9,043.57",0.00,0.00,March,2021,,
355,Hohenfels,"51,406.40",0.00,0.00,"2,86,205.90",0.00,0.00,March,2021,49.203278,11.849022
356,Naples Navy,0.00,0.00,0.00,"85,315.15",0.00,0.00,March,2021,,
357,Sigonella Navy,"46,211.20",0.00,0.00,"2,33,976.70",0.00,0.00,March,2021,,
358,Rota Navy,"55,289.85",0.00,0.00,"3,53,193.50",0.00,0.00,March,2021,,
359,Souda Bay Navy,0.00,0.00,0.00,0.00,0.00,0.00,March,2021,,
360,AFRC Dragon Hill Lodge,0.00,"7,41,972.10",0.00,0.00,"25,12,602.45",0.00,March,2021,,
361,Seoul,0.00,"7,702.90",0.00,0.00,"1,57,060.35",0.00,March,2021,37.566535,126.97797
362,Casey &   Hovey,0.00,"1,73,202.20",0.00,0.00,"11,58,402.85",0.00,March,2021,,
363,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,March,2021,,
364,Camp Humphreys,0.00,"1,058,808. 10",0.00,0.00,"56,31,259.85",0.00,March,2021,,
365,Daegu,0.00,"3,50,413.32",0.00,0.00,"15,97,135.77",0.00,March,2021,,
366,Chinhae Navy,0.00,"19,337.75",0.00,0.00,"1,83,519.10",0.00,March,2021,,
367,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,March,2021,,
368,Camp Zama,0.00,0.00,"2,36,226.20",0.00,0.00,"8,92,942.10",March,2021,,
369,Fuji Marines,0.00,0.00,522.00,0.00,0.00,"4,713.50",March,2021,,
370,Sanna Navy,0.00,0.00,"11,413.20",0.00,0.00,"11,413.20",March,2021,,
371,Atsugi Navy,0.00,0.00,"1,48,438.40",0.00,0.00,"8,15,361.40",March,2021,,
372,Okinawa,0.00,0.00,944.50,0.00,0.00,"24,054.95",March,2021,26.212401,127.68093
373,Okinawa Marines,0.00,0.00,"12,10,409.75",0.00,0.00,"55,18,077.55",March,2021,,
374,Okinawa Navy,0.00,0.00,"21,014.15",0.00,0.00,"1,86,698.85",March,2021,,
375,Iwakuni Marines,0.00,0.00,"1,74,559.10",0.00,0.00,"8,90,873.00",March,2021,,
376,Sasebo Navy,0.00,0.00,"2,81,292.40",0.00,0.00,"11,86,605.80",March,2021,,
377,Yokosuka Navy,0.00,0.00,"3,95,468.40",0.00,0.00,"17,01,745.45",March,2021,,
378,Singapore Navy,0.00,0.00,-30.50,0.00,0.00,-30.50,March,2021,,
379,Total Gaming Revenue,"9,63,821.20","23,51,436.37","24,80,257.60","38,98,653.07","1,12,39,980.37","1,12,32,455.30",March,2021,,
380,Kaiserslautern,"3,46,998.95",0.00,0.00,"16,04,359.35",0.00,0.00,March,2022,,
381,Grafenwoehr,"89,618.85",0.00,0.00,"6,14,764.30",0.00,0.00,March,2022,,
382,Wiesbaden,"4,09,674.50",0.00,0.00,"15,44,010.20",0.00,0.00,March,2022,,
383,Vicenza,"1,35,939.85",0.00,0.00,"4,85,943.60",0.00,0.00,March,2022,45.545479,11.535421
384,Livorno,"14,712.00",0.00,0.00,"87,217.85",0.00,0.00,March,2022,43.548473,10.310567
385,Stuttgart,"3,35,602.15",0.00,0.00,"13,88,600.85",0.00,0.00,March,2022,48.775418,9.181759
386,Baumholder,"1,29,914.20",0.00,0.00,"2,76,389.20",0.00,0.00,March,2022,49.613889,7.333333
387,Ansbach,"1,18,881.85",0.00,0.00,"2,90,115.35",0.00,0.00,March,2022,49.300425,10.571936
388,Schinnen,0.00,0.00,0.00,"30,117.60",0.00,0.00,March,2022,50.94028,5.87832
389,AFRC Edelweiss Lodge,"29,479.55",0.00,0.00,"1,10,096.30",0.00,0.00,March,2022,,
390,Hohenfels,"39,415.60",0.00,0.00,"3,39,114.95",0.00,0.00,March,2022,49.203278,11.849022
391,Naples Navy,"49,253.90",0.00,0.00,"4,47,379.06",0.00,0.00,March,2022,,
392,Sigonella Navy,"93,703.35",0.00,0.00,"3,39,361.60",0.00,0.00,March,2022,,
393,Rota Navy,"1,16,287.30",0.00,0.00,"4,75,169.15",0.00,0.00,March,2022,,
394,Souda Bay Navy,0.00,0.00,0.00,0.00,0.00,0.00,March,2022,,
395,AFRC Dragon Hill Lodge,0.00,"5,25,505.85",0.00,0.00,"19,07,585.75",0.00,March,2022,,
396,Seoul,0.00,"13,424.30",0.00,0.00,"50,542.30",0.00,March,2022,37.566535,126.97797
397,Casey &   Hovey,0.00,"2,83,259.90",0.00,0.00,"14,13,049.65",0.00,March,2022,,
398,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,March,2022,,
399,Camp Humphreys,0.00,"11,01,798.15",0.00,0.00,"53,46,954.60",0.00,March,2022,,
400,Daegu,0.00,"3,79,901.45",0.00,0.00,"15,48,330.90",0.00,March,2022,,
401,Chinhae Navy,0.00,"29,492.00",0.00,0.00,"2,42,998.15",0.00,March,2022,,
402,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,March,2022,,
403,Camp Zama,0.00,0.00,"1,08,807.05",0.00,0.00,"5,46,459.55",March,2022,,
404,Fuji Marines,0.00,0.00,25.00,0.00,0.00,"12,339.00",March,2022,,
405,Sanna Navy,0.00,0.00,"55,139.75",0.00,0.00,"4,32,342.05",March,2022,,
406,Atsugi Navy,0.00,0.00,"1,45,633.50",0.00,0.00,"5,51,107.05",March,2022,,
407,Okinawa,0.00,0.00,"7,863.00",0.00,0.00,"36,578.65",March,2022,26.212401,127.68093
408,Okinawa Marines,0.00,0.00,"11,86,329.70",0.00,0.00,"54,90,947.50",March,2022,,
409,Okinawa Navy,0.00,0.00,"32,969.50",0.00,0.00,"1,96,420.85",March,2022,,
410,Iwakuni Marines,0.00,0.00,"2,84,516.40",0.00,0.00,"10,01,691.30",March,2022,,
411,Sasebo Navy,0.00,0.00,"2,24,405.20",0.00,0.00,"12,09,687.00",March,2022,,
412,Yokosuka Navy,0.00,0.00,"5,44,753.45",0.00,0.00,"26,93,858.85",March,2022,,
413,Singapore Navy,0.00,0.00,0.00,0.00,0.00,0.00,March,2022,,
414,Total Gaming Revenue,"19,09,482.05","23,33,381.65","25,90,442.55","80,32,639.36","1,05,09,461.35","1,21,71,431.80",March,2022,,
415,Kaiserslautern,"2,21,287.00",0.00,0.00,"17,18,609.95",0.00,0.00,March,2024,,
416,Grafenwoehr,"2,50,559.65",0.00,0.00,"12,72,706.05",0.00,0.00,March,2024,,
417,Wiesbaden,"3,66,436.50",0.00,0.00,"19,77,310.00",0.00,0.00,March,2024,,
418,Vicenza,"1,37,152.90",0.00,0.00,"7,79,250.70",0.00,0.00,March,2024,45.545479,11.535421
419,Livorno,"16,296.00",0.00,0.00,"47,664 .20",0.00,0.00,March,2024,43.548473,10.310567
420,Stuttgart,"2,05,994.05",0.00,0.00,"1,412,673 .15",0.00,0.00,March,2024,48.775418,9.181759
421,Baumholder,"91,142.65",0.00,0.00,"3,73,696.20",0.00,0.00,March,2024,49.613889,7.333333
422,Ansbach,"80,191.30",0.00,0.00,"4,22,876.38",0.00,0.00,March,2024,49.300425,10.571936
423,Brunssum,"4,717.30",0.00,0.00,"44,550.90",0.00,0.00,March,2024,50.948896,5.972166
424,AFRC Edelweiss Lodge,"33,882.90",0.00,0.00,"1,59,484.78",0.00,0.00,March,2024,,
425,Hohenfels,"43,400.25",0.00,0.00,"2,20,071.35",0.00,0.00,March,2024,49.203278,11.849022
426,Naples Navy,"1,48,037.25",0.00,0.00,"799,713 .55",0.00,0.00,March,2024,,
427,Sigonella Navy,"74,435.44",0.00,0.00,"4,19,517.44",0.00,0.00,March,2024,,
428,Rota Navy,"95,293.45",0.00,0.00,"565,073 .85",0.00,0.00,March,2024,,
429,Souda Bay Navy,"18,180.35",0.00,0.00,"72,874.05",0.00,0.00,March,2024,,
430,AFRC Dragon Hill Lodge,0.00,"4,85,680.90",0.00,0.00,"2,101,213 .95",0.00,March,2024,,
431,Seoul,0.00,"14,834.80",0.00,0.00,"64,917.80",0.00,March,2024,37.566535,126.97797
432,Casey &   Hovey,0.00,"1,53,643.60",0.00,0.00,"1,280,541 .30",0.00,March,2024,,
433,Camp Humphreys,0.00,"10,11,025.70",0.00,0.00,"6,283,933 .35",0.00,March,2024,,
434,Daegu,0.00,"2,06,347.95",0.00,0.00,"10,24,020.80",0.00,March,2024,,
435,Chinhae Navy,0.00,"18,170.05",0.00,0.00,"1,35,459.35",0.00,March,2024,,
436,Camp Zama,0.00,0.00,"1,74,304.55",0.00,0.00,"7,75,396.55",March,2024,,
437,Fuji Marines,0.00,0.00,"-1,776.60",0.00,0.00,"19,603.85",March,2024,,
438,Sanna Navy,0.00,0.00,"96,045.50",0.00,0.00,"6,38,519.65",March,2024,,
439,Atsugi Navy,0.00,0.00,"1,33,682.40",0.00,0.00,"6,57,150.95",March,2024,,
440,Okinawa,0.00,0.00,"2,308.95",0.00,0.00,"37,539.65",March,2024,26.212401,127.68093
441,Okinawa Marines,0.00,0.00,"9,56,523.60",0.00,0.00,"60,37,515.60",March,2024,,
442,Okinawa Navy,0.00,0.00,"45,073.65",0.00,0.00,"3,00,231.45",March,2024,,
443,Iwakuni Marines,0.00,0.00,"1,55,881.95",0.00,0.00,"10,24,695.30",March,2024,,
444,Sasebo Navy,0.00,0.00,"51,969.70",0.00,0.00,"10,89,806.95",March,2024,,
445,Yokosuka Navy,0.00,0.00,"4,35,912.60",0.00,0.00,"26,17,961.25",March,2024,,
446,Singapore Navy,0.00,0.00,"7,631.00",0.00,0.00,"22,084.05",March,2024,,
447,Total Gaming Revenue,"17,87,006.99","18,89,703.00","20,57,557.30","1,02,86,072.55","1,08,90,086.55","1,32,20,505.25",March,2024,,
448,Kaiserslautern,0.00,0.00,0.00,"16,07,114.40",0.00,0.00,April,2020,,
449,Grafenwoehr,0.00,0.00,0.00,"10,66,236.50",0.00,0.00,April,2020,,
450,Wiesbaden,0.00,0.00,0.00,"14,76,640.30",0.00,0.00,April,2020,,
451,Vicenza,0.00,0.00,0.00,"4,06,448.85",0.00,0.00,April,2020,45.545479,11.535421
452,Livorno,0.00,0.00,0.00,"6,352.35",0.00,0.00,April,2020,43.548473,10.310567
453,Stuttgart,"4,503.85",0.00,0.00,"8,91,958.95",0.00,0.00,April,2020,48.775418,9.181759
454,Baumholder,0.00,0.00,0.00,"3,35,735.60",0.00,0.00,April,2020,49.613889,7.333333
455,Ansbach,0.00,0.00,0.00,"3,11,903.85",0.00,0.00,April,2020,49.300425,10.571936
456,Schinnen,"-4,503.85",0.00,0.00,"41,837.70",0.00,0.00,April,2020,50.94028,5.87832
457,AFRC Edelweiss Lodge,0.00,0.00,0.00,"1,56,607.87",0.00,0.00,April,2020,,
458,Hohenfels,0.00,0.00,0.00,"2,79,393.20",0.00,0.00,April,2020,49.203278,11.849022
459,Naples Navy,0.00,0.00,0.00,"4,83,735.90",0.00,0.00,April,2020,,
460,Sigonella Navy,0.00,0.00,0.00,"3,38,536.70",0.00,0.00,April,2020,,
461,Rota Navy,0.00,0.00,0.00,"4,26,711.60",0.00,0.00,April,2020,,
462,Souda Bay Navy,"18,898.30",0.00,0.00,"58,890.00",0.00,0.00,April,2020,,
463,AFRC Dragon Hill Lodge,0.00,"274,976. 55",0.00,0.00,"30,53,828.85",0.00,April,2020,,
464,Seoul,0.00,"71,555.75",0.00,0.00,"4,81,142.25",0.00,April,2020,37.566535,126.97797
465,Casey &   Hovey,0.00,"2,62,101.00",0.00,0.00,"14,62,342.45",0.00,April,2020,,
466,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,April,2020,,
467,Camp Humphreys,0.00,"2,55,487.80",0.00,0.00,"55,75,323.85",0.00,April,2020,,
468,Daegu,0.00,0.00,0.00,0.00,"14,44,530.50",0.00,April,2020,,
469,Chinhae Navy,0.00,"27,052.35",0.00,0.00,"2,19,343.31",0.00,April,2020,,
470,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,April,2020,,
471,Camp Zama,0.00,0.00,0.00,0.00,0.00,"8,69,277.20",April,2020,,
472,Fuji Marines,0.00,0.00,0.00,0.00,0.00,"5,405.25",April,2020,,
473,Sanna Navy,0.00,0.00,0.00,0.00,0.00,"5,67,302.65",April,2020,,
474,Atsugi Navy,0.00,0.00,0.00,0.00,0.00,"7,15,315.25",April,2020,,
475,Okinawa,0.00,0.00,"4,628.00",0.00,0.00,"40,912.00",April,2020,26.212401,127.68093
476,Okinawa Marines,0.00,0.00,"2,91,473.85",0.00,0.00,"67,95,015.15",April,2020,,
477,Okinawa Navy,0.00,0.00,"2,867.00",0.00,0.00,"1,86,960.50",April,2020,,
478,Iwakuni Marines,0.00,0.00,"28,730.30",0.00,0.00,"12,90,676.15",April,2020,,
479,Sasebo Navy,0.00,0.00,0.00,0.00,0.00,"12,78,218.00",April,2020,,
480,Yokosuka Navy,0.00,0.00,"29,948.00",0.00,0.00,"27,56,433.10",April,2020,,
481,Singapore Navy,0.00,0.00,0.00,0.00,0.00,"33,112.95",April,2020,,
482,Total Gaming Revenue,"18,898.30","8,91,173.45","3,57,647.15","78,88,103.77","1,22,36,511.21","1,45,38,628.20",April,2020,,
483,Kaiserslautern,0.00,0.00,0.00,"6,85,257.85",0.00,0.00,April,2020,,
484,Grafenwoehr,"1,37,500.00",0.00,0.00,"8,92,113.40",0.00,0.00,April,2020,,
485,Wiesbaden,"2,85,762.45",0.00,0.00,"9,47,882.15",0.00,0.00,April,2020,,
486,Vicenza,"96,857.60",0.00,0.00,"4,36,692.15",0.00,0.00,April,2020,45.545479,11.535421
487,Livorno,0.00,0.00,0.00,"27,151.10",0.00,0.00,April,2020,43.548473,10.310567
488,Stuttgart,"1,71,195.65",0.00,0.00,"4,73,491.65",0.00,0.00,April,2020,48.775418,9.181759
489,Baumholder,0.00,0.00,0.00,"12,703.25",0.00,0.00,April,2020,49.613889,7.333333
490,Ansbach,"39,080.70",0.00,0.00,"1,40,804.70",0.00,0.00,April,2020,49.300425,10.571936
491,Schinnen,"6,734.00",0.00,0.00,"51,952.40",0.00,0.00,April,2020,50.94028,5.87832
492,AFRC Edelweiss Lodge,"6,207.00",0.00,0.00,"15,250.57",0.00,0.00,April,2020,,
493,Hohenfels,"21,867.30",0.00,0.00,"3,08,073.20",0.00,0.00,April,2020,49.203278,11.849022
494,Naples Navy,0.00,0.00,0.00,"85,315.15",0.00,0.00,April,2020,,
495,Sigonella Navy,"33,735.90",0.00,0.00,"2,67,712.60",0.00,0.00,April,2020,,
496,Rota Navy,"42,689.55",0.00,0.00,"3,95,883.05",0.00,0.00,April,2020,,
497,Souda Bay Navy,0.00,0.00,0.00,0.00,0.00,0.00,April,2020,,
498,AFRC Dragon Hill Lodge,0.00,"4,63,168.35",0.00,0.00,"29,75,770.80",0.00,April,2020,,
499,Seoul,0.00,"28,224.10",0.00,0.00,"1,85,284.45",0.00,April,2020,37.566535,126.97797
500,Casey &   Hovey,0.00,"2,13,534.60",0.00,0.00,"13,71,937.45",0.00,April,2020,,
501,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,April,2020,,
502,Camp Humphreys,0.00,"1,164,822. 10",0.00,0.00,"67,96,081.95",0.00,April,2020,,
503,Daegu,0.00,"3,64,563.43",0.00,0.00,"19,61,699.20",0.00,April,2020,,
504,Chinhae Navy,0.00,"8,401.40",0.00,0.00,"1,91,920.50",0.00,April,2020,,
505,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,April,2020,,
506,Camp Zama,0.00,0.00,"83,463.90",0.00,0.00,"9,76,406.00",April,2020,,
507,Fuji Marines,0.00,0.00,"5,911.95",0.00,0.00,"10,625.45",April,2020,,
508,Sanna Navy,0.00,0.00,"20,615.20",0.00,0.00,"32,028.40",April,2020,,
509,Atsugi Navy,0.00,0.00,"1,93,753.10",0.00,0.00,"10,09,114.50",April,2020,,
510,Okinawa,0.00,0.00,0.00,0.00,0.00,"24,054.95",April,2020,26.212401,127.68093
511,Okinawa Marines,0.00,0.00,"9,01,510.85",0.00,0.00,"64,19,588.40",April,2020,,
512,Okinawa Navy,0.00,0.00,"12,359.65",0.00,0.00,"1,99,058.50",April,2020,,
513,Iwakuni Marines,0.00,0.00,"2,00,838.70",0.00,0.00,"10,91,711.70",April,2020,,
514,Sasebo Navy,0.00,0.00,"2,13,212.55",0.00,0.00,"13,99,818.35",April,2020,,
515,Yokosuka Navy,0.00,0.00,"5,64,705.85",0.00,0.00,"22,66,451.30",April,2020,,
516,Singapore Navy,0.00,0.00,0.00,0.00,0.00,-30.50,April,2020,,
517,Total Gaming Revenue,"8,41,630.15","22,42,713.98","21,96,371.75","47,40,283.22","1,34,82,694.35","1,34,28,827.05",April,2020,,
518,Kaiserslautern,"3,06,868.80",0.00,0.00,"19,11,228.15",0.00,0.00,April,2022,,
519,Grafenwoehr,"98,038.75",0.00,0.00,"7,12,803.05",0.00,0.00,April,2022,,
520,Wiesbaden,"1,67,404.45",0.00,0.00,"17,11,414.65",0.00,0.00,April,2022,,
521,Vicenza,"79,082.30",0.00,0.00,"5,65,025.90",0.00,0.00,April,2022,45.545479,11.535421
522,Livorno,"11,259.00",0.00,0.00,"98,476.85",0.00,0.00,April,2022,43.548473,10.310567
523,Stuttgart,"86,016.60",0.00,0.00,"14,74,617.45",0.00,0.00,April,2022,48.775418,9.181759
524,Baumholder,"57,836.90",0.00,0.00,"3,34,226.10",0.00,0.00,April,2022,49.613889,7.333333
525,Ansbach,"92,339.80",0.00,0.00,"3,82,455.15",0.00,0.00,April,2022,49.300425,10.571936
526,Schinnen,"9,898.30",0.00,0.00,"40,015.90",0.00,0.00,April,2022,50.94028,5.87832
527,AFRC Edelweiss Lodge,"5,144.45",0.00,0.00,"1,15,240.75",0.00,0.00,April,2022,,
528,Hohenfels,"49,027.75",0.00,0.00,"3,88,142.70",0.00,0.00,April,2022,49.203278,11.849022
529,Naples Navy,"1,37,279.15",0.00,0.00,"5,84,658.21",0.00,0.00,April,2022,,
530,Sigonella Navy,"69,759.40",0.00,0.00,"4,09,121.00",0.00,0.00,April,2022,,
531,Rota Navy,"83,128.65",0.00,0.00,"5,58,297.80",0.00,0.00,April,2022,,
532,Souda Bay Navy,0.00,0.00,0.00,0.00,0.00,0.00,April,2022,,
