,Locations,March Europe,March Korea,March Japan,"YTD
Europe","YTD
Korea","YTD
Japan",Month,Year,latitude,longitude
73,Vicenza,"1,43,860.95",0.00,0.00,"2,95,670.70",0.00,0.00,January,2023,45.545479,11.535421
74,Livorno,"8,955.15",0.00,0.00,"53,806.55",0.00,0.00,January,2023,43.548473,10.310567
75,Stuttgart,"2,59,735.90",0.00,0.00,"8,03,090.90",0.00,0.00,January,2023,48.775418,9.181759
76,Baumholder,"34,862.40",0.00,0.00,"1,66,040.00",0.00,0.00,January,2023,49.613889,7.333333
77,Ansbach,"79,425.75",0.00,0.00,"2,59,563.30",0.00,0.00,January,2023,49.300425,10.571936
78,Brunssum,"13,825.90",0.00,0.00,"53,971.75",0.00,0.00,January,2023,50.948896,5.972166
79,AFRC Edelweiss Lodge,"35,876.90",0.00,0.00,"58,576.55",0.00,0.00,January,2023,,
80,Hohenfels,"37,626.80",0.00,0.00,"1,22,219.95",0.00,0.00,January,2023,49.203278,11.849022
81,Naples Navy,"99,610.30",0.00,0.00,"4,10,803.40",0.00,0.00,January,2023,,
82,Sigonella Navy,"1,01,111.25",0.00,0.00,"2,12,179.50",0.00,0.00,January,2023,,
83,Rota Navy,"78,109.10",0.00,0.00,"2,85,370.35",0.00,0.00,January,2023,,
84,Souda Bay Navy,"10,834.35",0.00,0.00,"35,570.30",0.00,0.00,January,2023,,
85,AFRC Dragon Hill Lodge,0.00,"5,62,130.45",0.00,0.00,"17,28,304.35",0.00,January,2023,,
86,Seoul,0.00,"15,116.05",0.00,0.00,"63,879.65",0.00,January,2023,37.566535,126.97797
87,Casey & Hovey,0.00,"1,53,938.10",0.00,0.00,"7,11,524.40",0.00,January,2023,,
88,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,January,2023,,
89,Camp Humphreys,0.00,"9,32,127.30",0.00,0.00,"40,70,212.45",0.00,January,2023,,
90,Daegu,0.00,"2,29,588.55",0.00,0.00,"8,48,340.85",0.00,January,2023,,
91,Chinhae Navy,0.00,"55,895.90",0.00,0.00,"1,21,592.85",0.00,January,2023,,
92,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,January,2023,,
93,Camp Zama,0.00,0.00,"85,079.95",0.00,0.00,"4,41,246.30",January,2023,,
94,Fuji Marines,0.00,0.00,"2,687.00",0.00,0.00,"9,904.50",January,2023,,
95,Sanno Navy,0.00,0.00,"1,38,279.70",0.00,0.00,"3,78,886.50",January,2023,,
96,Atsugi Navy,0.00,0.00,"49,710.75",0.00,0.00,"2,30,082.20",January,2023,,
97,Okinawa,0.00,0.00,"10,555.60",0.00,0.00,"33,391.60",January,2023,26.212401,127.68093
98,Okinawa Marines,0.00,0.00,"10,93,316.40",0.00,0.00,"37,17,018.05",January,2023,,
99,Okinawa Navy,0.00,0.00,"21,016.20",0.00,0.00,"1,17,154.15",January,2023,,
100,Iwakuni Marines,0.00,0.00,"82,548.30",0.00,0.00,"5,04,064.30",January,2023,,
101,Sasebo Navy,0.00,0.00,"1,72,159.95",0.00,0.00,"6,73,199.60",January,2023,,
102,Yokosuka Navy,0.00,0.00,"5,35,894.55",0.00,0.00,"15,84,256.55",January,2023,,
103,Singapore Navy,0.00,0.00,"5,208.00",0.00,0.00,"13,384.00",January,2023,,
104,Total Gaming Revenue,"14,61,511.50","19,48,796.35","21,96,456.40","53,06,507.15","75,43,854.55","77,02,587.75",January,2023,,
105,Kaiserslautern,"1,44,620.91",0.00,0.00,"9,99,264.65",0.00,0.00,January,2024,,
106,Grafenwoehr,"2,36,980.65",0.00,0.00,"8,65,192.00",0.00,0.00,January,2024,,
107,Wiesbaden,"4,10,804.70",0.00,0.00,"12,50,964.00",0.00,0.00,January,2024,,
108,Vicenza,"1,14,917.70",0.00,0.00,"5,13,258.90",0.00,0.00,January,2024,45.545479,11.535421
109,Livorno,54.00,0.00,0.00,"27,199.50",0.00,0.00,January,2024,43.548473,10.310567
110,Stuttgart,"2,53,118.60",0.00,0.00,"9,86,928.45",0.00,0.00,January,2024,48.775418,9.181759
111,Baumholder,"99,036.85",0.00,0.00,"2,36,987.00",0.00,0.00,January,2024,49.613889,7.333333
112,Ansbach,"1,15,782.30",0.00,0.00,"2,47,915.28",0.00,0.00,January,2024,49.300425,10.571936
113,Brunssum,"11,782.15",0.00,0.00,"25,181.20",0.00,0.00,January,2024,50.948896,5.972166
114,AFRC Edelweiss Lodge,"17,542.39",0.00,0.00,"88,950.28",0.00,0.00,January,2024,,
115,Hohenfels,"37,727.85",0.00,0.00,"1,38,859.10",0.00,0.00,January,2024,49.203278,11.849022
116,Naples Navy,"1,64,611.15",0.00,0.00,"4,21,276.40",0.00,0.00,January,2024,,
117,Sigonella Navy,"75,884.30",0.00,0.00,"2,76,640.55",0.00,0.00,January,2024,,
118,Rota Navy,"1,25,762.10",0.00,0.00,"3,56,690.55",0.00,0.00,January,2024,,
119,Souda Bay Navy,25.00,0.00,0.00,"46,255.70",0.00,0.00,January,2024,,
120,AFRC Dragon Hill Lodge,0.00,"5,86,916.60",0.00,0.00,"14,00,719.90",0.00,January,2024,,
121,Seoul,0.00,"2,491.20",0.00,0.00,"32,381.40",0.00,January,2024,37.566535,126.97797
122,Casey & Hovey,0.00,"2,69,691.25",0.00,0.00,"8,84,392.95",0.00,January,2024,,
123,Camp Humphreys,0.00,"10,95,634.75",0.00,0.00,"41,58,060.80",0.00,January,2024,,
124,Daegu,0.00,"2,27,015.35",0.00,0.00,"5,45,974.65",0.00,January,2024,,
125,Chinhae Navy,0.00,"27,246.75",0.00,0.00,"1,14,239.30",0.00,January,2024,,
126,Camp Zama,0.00,0.00,"1,37,933.60",0.00,0.00,"4,93,308.20",January,2024,,
127,Fuji Marines,0.00,0.00,"2,557.75",0.00,0.00,"19,274.55",January,2024,,
128,Sanno Navy,0.00,0.00,"1,04,494.65",0.00,0.00,"4,39,071.00",January,2024,,
129,Atsugi Navy,0.00,0.00,"66,074.30",0.00,0.00,"3,37,707.40",January,2024,,
130,Okinawa,0.00,0.00,"3,336.70",0.00,0.00,"29,315.70",January,2024,26.212401,127.68093
131,Okinawa Marines,0.00,0.00,"12,25,730.20",0.00,0.00,"42,20,444.15",January,2024,,
132,Okinawa Navy,0.00,0.00,"38,102.55",0.00,0.00,"2,11,465.65",January,2024,,
133,Iwakuni Marines,0.00,0.00,"1,65,768.25",0.00,0.00,"7,01,683.55",January,2024,,
134,Sasebo Navy,0.00,0.00,"2,21,620.50",0.00,0.00,"8,73,187.65",January,2024,,
135,Yokosuka Navy,0.00,0.00,"4,40,682.60",0.00,0.00,"17,13,683.00",January,2024,,
136,Singapore Navy,0.00,0.00,"8,473.80",0.00,0.00,"12,422.00",January,2024,,
