Country,FO#,LOC,SVC,NOV,AIN,IGT,WMS,BAL,KON,ITE,Tot/EGMs,FRS,DIE,COU,ACM,ITC,Total,Month,Year,Region,latitude,longitude
,0,0,,,,2,2,1,2,0,13,1,,,1,,17,9,2022,Europe,,
LIVORNO  C/C,4,330,Army,3,8,4,2,13,1,0,32,1,,,1,,36,9,2022,Europe,43.548473,10.310567
ARENA   B/C,4,2895,Army,13,17,14,6,33,8,0,114,6,,,6,,138,9,2022,Europe,,
DEL  DIN   C/C,4,3132,Army,3,,,,,,0,,,,,,,,9,2022,Europe,,
VICENZA,0,0,,19,,,,,,0,,,,,,,,9,2022,Europe,45.545479,11.535421
EDELWEISS,10,2489,Army,2,,,,,,0,,,,,,,,9,2022,Europe,,
GARMISCH,0,0,,2,6,3,4,,,1,27,1,,,1,2,31,9,2022,Europe,47.491695,11.095498
,0,0,,,6,2,3,,,1,15,1,,,1,2,19,9,2022,Europe,,
ACTION  LANES,31,437,Army,6,6,8,,5,,3,29,1,,,1,2,33,9,2022,Europe,,
STORCK   BRK   B/C,31,438,Army,6,18,13,7,10,,5,71,3,,,3,6,83,9,2022,Europe,,
ANSBACH,0,0,,12,,,,,,0,,,,,,,,9,2022,Europe,49.300425,10.571936
,0,0,,,5,4,2,8,,0,32,1,,,1,1,35,9,2022,Europe,,
THE  ANCHOR,39,2618,Navy,16,2,2,2,,,0,11,1,,,1,1,14,9,2022,Europe,,
SOUDA BAY,0,0,,16,,1,2,,,0,8,1,,,1,1,11,9,2022,Europe,,
,0,0,,,,,,,,0,7,1,,,1,1,10,9,2022,Europe,,
SIG  B/C,40,2595,Navy,7,6,4,2,8,,0,32,1,,,1,2,36,9,2022,Europe,,
JOX  SPORTS   BAR,40,2597,Navy,10,,2,2,3,,0,17,1,,,1,1,20,9,2022,Europe,,
SIGONELLA,0,0,,17,6,2,2,8,,0,26,1,,,1,2,30,9,2022,Europe,,
,0,0,,,4,3,1,3,,0,15,1,,,1,1,18,9,2022,Europe,,
CAPO  OLDE   TOWN,42,2588,Navy,9,23,18,13,30,,3,148,8,,,8,10,174,9,2022,Europe,,
NAPLES   B/C,42,2591,Navy,5,,,,,,0,,,,,,,,9,2022,Europe,40.851775,14.268124
NAPLES,0,0,,14,,1,2,,,1,6,1,,,1,1,9,9,2022,Europe,40.851775,14.268124
,0,0,,,,6,4,4,,0,20,1,,,1,2,24,9,2022,Europe,,
LA  PLAZA,43,2600,Navy,13,,6,2,2,,2,15,1,,,1,2,19,9,2022,Europe,,
PINZ,43,2601,Navy,3,9,10,,11,,2,53,1,,,2,2,58,9,2022,Europe,,
ROTA   FLEET  CTR,43,2605,Navy,2,7,2,1,10,,2,26,1,,,1,2,30,9,2022,Europe,36.62629,-6.362981
NGIS  ROTA,43,2890,Navy,4,18,15,,26,,3,78,1,,,3,2,84,9,2022,Europe,36.62629,-6.362981
ROTA,0,0,,22,,4,,6,,2,18,1,,,1,2,22,9,2022,Europe,36.62629,-6.362981
,0,0,,,8,6,4,11,,2,47,1,,,2,2,52,9,2022,Europe,,
PATCH  C/C,45,256,Army,15,,4,4,2,,0,16,1,,,1,1,19,9,2022,Europe,,
KELLY  C/C,45,280,Army,10,,1,2,,,0,11,1,,,1,2,15,9,2022,Europe,,
GALAXY   B/C,45,298,Army,6,4,2,2,6,,0,20,1,,,1,2,24,9,2022,Europe,,
STUTTGART,0,0,,31,,2,2,,,0,9,1,,,1,2,13,9,2022,Europe,48.775418,9.181759
,0,0,,,4,2,,,,0,10,,,,1,1,12,9,2022,Europe,,
GRAF   E/C,46,413,Army,14,,4,2,2,,2,12,1,,,1,1,15,9,2022,Europe,,
HOHENFELS   B/C,46,415,Army,4,50,65,25,80,,3,341,13,,,18,24,396,9,2022,Europe,49.203278,11.849022
VILSECK   B/C,46,417,Army,7,,,,,,0,,,,,,,,9,2022,Europe,,
LANGENBRUCK,46,1858,Army,13,4,6,2,5,,0,25,1,,,1,2,29,9,2022,Europe,49.991466,8.663401
ALGIER   R/C,46,3145,Army,,,4,2,9,,4,29,1,,,2,2,34,9,2022,Europe,,
VILSECK,0,0,,38,4,10,4,14,,4,54,2,,,3,4,63,9,2022,Europe,,
,0,0,,,,,,,,0,10,,,,1,2,13,9,2022,Europe,,
THE  VAULT,47,1669,Army,10,,,,,,0,,,,,,,,9,2022,Europe,,
LIBERTY  GAMES,47,1881,Army,7,,,,,,0,10,,,,1,2,13,9,2022,Europe,,
WIESBADEN   E/C,47,2976,Army,9,,,,,,,,,,,,0,Total,9,2022,Europe,,
ACE'S  GAME   RM,47,3108,Army,6,,,,,,0,"74
12","1
1",,,"2
1","3
2","80
16",9,2022,Europe,,
WIESBADEN,0,0,,32,,,,,,3,86,2,,,3,5,96,9,2022,Europe,,
,0,0,,,,,,,,0,,,,,,,,9,2022,Europe,,
,0,0,,,,,,,,0,29,1,,,1,2,33,9,2022,Japan,,
YOKOSUKA   B/C,18,3146,Navy,8,,,,,,0,26,1,,,1,2,30,9,2022,Japan,35.281341,139.6722
CLUB  ALLIANCE,18,3147,Navy,7,,,,,,0,22,1,,,1,2,26,9,2022,Japan,,
CPO  CLUB,18,3148,Navy,7,,,,,,2,27,1,,,1,2,31,9,2022,Japan,,
TAKEMIYA   CLUB,18,3149,Navy,4,,,,,,0,11,1,,,1,2,15,9,2022,Japan,,
OFFICERS   CLUB,18,3150,Navy,6,,,,,,7,125,6,,,6,12,149,9,2022,Japan,,
SEASIDE   CLUB,18,3151,Navy,4,,,,,,0,,,,,,,,9,2022,Japan,,
YOKOSUKA,0,0,,36,,,,,,2,24,,,,1,,25,9,2022,Japan,35.281341,139.6722
,0,0,,,,,,,,0,14,,,,1,,15,9,2022,Japan,,
,0,0,,,,,,,,2,24,,,,1,,25,9,2022,Japan,,
HARBOR   VIEW,19,3096,Navy,8,,,,,,0,11,,,,1,,12,9,2022,Japan,,
HARIO,19,3097,Navy,3,,,,,,4,73,,,,4,,77,9,2022,Japan,,
GALAXIES,19,3098,Navy,7,,,,,,0,10,1,,,1,1,13,9,2022,Japan,,
SASEBO,0,0,,18,,,,,,0,41,1,,,2,2,46,9,2022,Japan,33.179915,129.71511
,0,0,,,,,,,,0,14,1,,,1,2,18,9,2022,Japan,,
ZMA    C/C,22,883,Army,10,,,,,,3,68,1,,,2,2,73,9,2022,Japan,,
SHA  CLUB,22,885,Army,5,,,,,,3,133,4,,,6,7,150,9,2022,Japan,,
ZMA    B/C,22,886,Army,5,,,,,,0,,,,,,,,9,2022,Japan,,
ROAD  HOUSE,22,1127,Marine Corps,7,,,,,,6,,76,,,106,136,2213,9,2022,Japan,,
SANNO  HOTEL,22,2664,Navy,12,,,,,,85,,,,,,,,9,2022,Japan,,
CORNER   POCKET,22,3078,Navy,10,,,,,,0,,,,,,,,9,2022,Japan,,
CLUB   TRILOGY,22,3079,Navy,8,,,,,,,,,,,,,,9,2022,Japan,,
ZMA    G/C,22,3165,Army,4,4,10,,12,4,0,45,1,,,2,,50,9,2022,Japan,,
ZAMA,0,0,,61,3,5,,10,2,0,30,1,,,2,,35,9,2022,Japan,35.488587,139.40767
,0,0,,,,4,,,2,0,12,1,,,1,,16,9,2022,Japan,,
HAVANA'S,26,967,Army,2,4,7,2,8,3,0,33,1,,,2,,38,9,2022,Japan,,
HASHMARKS,26,1105,Marine Corps,6,4,3,3,3,,0,22,1,,,2,,27,9,2022,Japan,,
COURTNEY   B/C,26,1107,Marine Corps,3,,3,1,1,,0,12,1,,,1,,16,9,2022,Japan,,
TAIYO  G/C,26,1109,Marine Corps,21,,2,,7,,0,19,1,,,2,,24,9,2022,Japan,,
BUTLER   B/C,26,1111,Marine Corps,4,,,,,,0,0,,,,,,0,9,2022,Japan,,
OCEAN  BREEZE,26,1114,Marine Corps,16,15,34,6,41,15,0,173,7,,,12,,206,9,2022,Japan,,
SURFSIDE,26,1122,Marine Corps,6,,,,,,0,,,,,,,,9,2022,Japan,,
PALMS,26,2238,Marine Corps,16,3,,4,3,,0,16,1,,,2,,21,9,2022,Japan,,
WEST   PAC   LODGE,26,2317,Marine Corps,6,5,6,3,10,4,0,41,1,,,2,,46,9,2022,Japan,,
BEACH  HEAD,26,2394,Marine Corps,5,,5,1,7,,0,16,1,,,1,,19,9,2022,Japan,,
CROW'S  NEST,26,2523,Navy,6,8,11,8,20,4,0,73,3,,,5,,86,9,2022,Japan,,
PORT  CALL,26,2525,Navy,2,3,3,,7,,0,15,1,,,2,,20,9,2022,Japan,,
WHISPERS,26,3159,Marine Corps,4,3,3,,7,,0,15,1,,,2,,20,9,2022,Japan,,
HANSEN   TLF,26,3169,Marine Corps,2,,,,,,0,,,,,,,,9,2022,Japan,,
OKINAWA,0,0,,99,,2,2,8,2,0,20,1,,,1,,24,9,2022,Japan,26.212401,127.68093
,0,0,,,,3,1,4,2,0,16,1,,,1,,20,9,2022,Japan,,
TORII  PINES  TLF,27,3164,Marine Corps,8,,5,3,12,4,0,36,2,,,2,,44,9,2022,Japan,,
IWAKUNI  CLUB,27,1137,Marine Corps,10,,,,,,0,20,1,,,2,,25,9,2022,Japan,34.166562,132.21885
IWAKUNI,0,0,,18,2,,,2,,0,,,,,,,,9,2022,Japan,34.166562,132.21885
,0,0,,,2,,,2,,0,20,1,,,2,,25,9,2022,Japan,,
TERROR   CLUB,17,3156,Navy,10,,,,,,0,,,,,,,,9,2022,Japan,,
SINGAPORE,0,0,,10,2,5,3,4,,0,21,1,,,1,,24,9,2022,Japan,,
"DRAGON  HILL
K-16  C/C","20
20","770
776","Army
Army","35            5              4            27
10            2",4,7,5,7,,0,40,2,,,3,,48,9,2022,Korea,,
SEOUL,0,0,,45                                7              4             27,,,,,,0,,,,,,,,9,2022,Korea,37.566535,126.97797
,0,0,,,,6,1,4,2,0,22,1,,,1,,26,9,2022,Korea,,
STATE'S   GRILL,21,866,Army,6                               2,1,3,2,9,5,0,25,1,,,1,,29,9,2022,Korea,,
HILLTOP,21,867,Army,9            10      2                               8,1,9,3,13,7,0,47,2,,,2,,55,9,2022,Korea,,
PERIMETER   PUB,21,869,Army,13             4               6,,,,,,0,,,,,,,,9,2022,Korea,,
WINDY  CITY,21,870,Army,11                                5              3,4,2,,6,4,0,29,1,,,1,,33,9,2022,Korea,,
EL  GUERRERO,21,891,Army,16            6,,3,1,5,1,0,13,1,,,1,,16,9,2022,Korea,,
TURTLE  COVE,21,2521,Navy,6                                                5,,2,1,,,0,5,1,,,1,,8,9,2022,Korea,,
DAEGU,0,0,,61     14             21      8             14,,3,,2,1,0,10,1,,,1,,13,9,2022,Korea,,
,0,0,,,4,10,2,13,6,0,57,4,,,4,,70,9,2022,Korea,,
IMPACT   ZONE,23,797,Army,9               5              2                               6,,,,,,0,,,,,,,,9,2022,Korea,,
WARRIOR'S,23,798,Army,10            2              2,3,6,3,16,5,0,48,1,,,2,,53,9,2022,Korea,,
CASEY   B/C,23,819,Army,12      4               2                               4,,3,1,4,1,0,19,1,,,1,,22,9,2022,Korea,,
CASEY   LODGE,23,1940,Army,6                               1               2              2,2,3,1,7,2,0,21,1,,,1,,24,9,2022,Korea,,
UIJEONGBU,0,0,,37               9              7              4            12,5,12,5,27,8,0,88,3,,,4,,99,9,2022,Korea,,
FLIGHTLINE,24,3166,Army,8                                                                 2,,,,,,0,,,,,,,,9,2022,Korea,,
CAVE,24,3168,Army,22              6              5                               8,4,5,4,9,2,0,38,1,,,2,,43,9,2022,Korea,,
HUMPHREYS   B/C,24,839,Army,6              4              4,4,6,,6,,0,20,1,,,2,,25,9,2022,Korea,,
MORNING   CALM,24,3158,Army,15     15      6                            29,,,2,4,,0,13,1,,,1,,16,9,2022,Korea,,
PYEONGTAEK,0,0,,51     25     15           39,4,4,,12,,0,33,1,,,2,,38,9,2022,Korea,36.992108,127.11294
ALGIER   R/C,,,,,,,,,,0,0,,,,,,0,9,2022,Korea,,
VILSECK,,,,NOV,12,15,6,31,2,0,104,4,,,7,,122,9,2022,Korea,,
,,,,11,,,,,,0,,,,,,,,9,2022,Korea,,
THE  VAULT,,,,10,4,4,,11,2,0,31,1,,,2,,36,9,2022,Korea,,
LIBERTY  GAMES,,,,6,,7,,5,1,0,20,1,,,1,,23,9,2022,Korea,,
WIESBADEN   E/C,,,,9,4,4,1,6,2,0,26,,,,1,,27,9,2022,Korea,,
ACE'S  GAME   RM,,,,9,1,2,,,1,0,10,1,,,1,,13,9,2022,Korea,,
WIESBADEN,,,,6,9,17,1,22,6,0,87,3,,,5,,99,9,2022,Korea,,
,,,,7,,,,,,0,,,,,,,,9,2022,Korea,,
Japan,,,,,AIN,IGT,WMS,BAL,KON,ITE,Tot/EGMs,FRS,,,ACM,0,Total,9,2022,,36.204824,138.25292
,,,,58,,,,,,0,,,,,,,,9,2022,Japan,,
YOKOSUKA   B/C,,,,3,4,3,,6,1,0,22,1,,,1,,26,9,2022,Japan,35.281341,139.6722
CLUB  ALLIANCE,,,,12,5,2,1,12,2,0,29,1,,,1,,33,9,2022,Japan,,
CPO  CLUB,,,,3,,3,,1,1,0,12,1,,,1,,16,9,2022,Japan,,
TAKEMIYA   CLUB,,,,18,,,1,,1,0,6,1,,,1,,10,9,2022,Japan,,
OFFICERS   CLUB,,,,4,,2,2,1,2,0,13,1,,,1,,17,9,2022,Japan,,
SEASIDE   CLUB,,,,4,8,4,2,13,1,0,32,1,,,1,,36,9,2022,Japan,,
YOKOSUKA,,,,6,17,14,6,33,8,0,114,6,,,6,,138,9,2022,Japan,35.281341,139.6722
,,,,6,,,,,,0,,,,,,,,9,2022,Japan,,
,,,,12,,,,,,0,,,,,,,,9,2022,Japan,,
HARBOR   VIEW,,,,21,6,3,4,,,1,27,1,,,1,2,31,9,2022,Japan,,
HARIO,,,,7,6,2,3,,,1,15,1,,,1,2,19,9,2022,Japan,,
GALAXIES,,,,10,6,8,,5,,3,29,1,,,1,2,33,9,2022,Japan,,
SASEBO,,,,17,18,13,7,10,,5,71,3,,,3,6,83,9,2022,Japan,33.179915,129.71511
,,,,9,,,,,,0,,,,,,,,9,2022,Japan,,
ZMA    C/C,,,,5,5,4,2,8,,0,32,1,,,1,1,35,9,2022,Japan,,
SHA  CLUB,,,,14,2,2,2,,,0,11,1,,,1,1,14,9,2022,Japan,,
ZMA    B/C,,,,13,,1,2,,,0,8,1,,,1,1,11,9,2022,Japan,,
ROAD  HOUSE,,,,3,,,,,,0,7,1,,,1,1,10,9,2022,Japan,,
SANNO  HOTEL,,,,2,6,4,2,8,,0,32,1,,,1,2,36,9,2022,Japan,,
CORNER   POCKET,,,,4,,2,2,3,,0,17,1,,,1,1,20,9,2022,Japan,,
CLUB   TRILOGY,,,,22,6,2,2,8,,0,26,1,,,1,2,30,9,2022,Japan,,
ZMA    G/C,,,,15,4,3,1,3,,0,15,1,,,1,1,18,9,2022,Japan,,
ZAMA,,,,10,23,18,13,30,,3,148,8,,,8,10,174,9,2022,Japan,35.488587,139.40767
,,,,6,,,,,,0,,,,,,,,9,2022,Japan,,
HAVANA'S,,,,31,,1,2,,,1,6,1,,,1,1,9,9,2022,Japan,,
HASHMARKS,,,,15,,6,4,4,,0,20,1,,,1,2,24,9,2022,Japan,,
COURTNEY   B/C,,,,4,,6,2,2,,2,15,1,,,1,2,19,9,2022,Japan,,
TAIYO  G/C,,,,7,9,10,,11,,2,53,1,,,2,2,58,9,2022,Japan,,
BUTLER   B/C,,,,13,7,2,1,10,,2,26,1,,,1,2,30,9,2022,Japan,,
OCEAN  BREEZE,,,,,18,15,,26,,3,78,1,,,3,2,84,9,2022,Japan,,
SURFSIDE,,,,39,,4,,6,,2,18,1,,,1,2,22,9,2022,Japan,,
PALMS,,,,10,8,6,4,11,,2,47,1,,,2,2,52,9,2022,Japan,,
WEST   PAC   LODGE,,,,7,,4,4,2,,0,16,1,,,1,1,19,9,2022,Japan,,
BEACH  HEAD,,,,9,,1,2,,,0,11,1,,,1,2,15,9,2022,Japan,,
CROW'S  NEST,,,,6,4,2,2,6,,0,20,1,,,1,2,24,9,2022,Japan,,
PORT  CALL,,,,32,,2,2,,,0,9,1,,,1,2,13,9,2022,Japan,,
WHISPERS,,,,,4,2,,,,0,10,,,,1,1,12,9,2022,Japan,,
HANSEN   TLF,,,,,,4,2,2,,2,12,1,,,1,1,15,9,2022,Japan,,
OKINAWA,,,,8,50,65,25,80,,3,341,13,,,18,24,396,9,2022,Japan,26.212401,127.68093
,,,,7,,,,,,0,,,,,,,,9,2022,Japan,,
TORII  PINES  TLF,,,,7,4,6,2,5,,0,25,1,,,1,2,29,9,2022,Japan,,
IWAKUNI  CLUB,,,,3,,4,2,9,,4,29,1,,,2,2,34,9,2022,Japan,34.166562,132.21885
IWAKUNI,,,,6,4,10,4,14,,4,54,2,,,3,4,63,9,2022,Japan,34.166562,132.21885
,,,,4,,,,,,0,10,,,,1,2,13,9,2022,Japan,,
TERROR   CLUB,,,,35,,,,,,0,,,,,,,,9,2022,Japan,,
SINGAPORE,,,,7,,,,,,0,10,,,,1,2,13,9,2022,Japan,,
Korea,,,,3,,,,,,,,,,,,,,9,2022,,,
"DRAGON  HILL
K-16  C/C",,,,7,,,,,,0,"74
12","1
1",,,"2
1","3
2","80
16",9,2022,Korea,,
SEOUL,,,,,,,,,,3,86,2,,,3,5,96,9,2022,Korea,37.566535,126.97797
,,,,17,,,,,,0,,,,,,,,9,2022,Korea,,
STATE'S   GRILL,,,,8,,,,,,2,10,1,,,1,2,14,9,2022,Korea,,
HILLTOP,,,,4,,,,,,0,29,1,,,1,2,33,9,2022,Korea,,
PERIMETER   PUB,,,,5,,,,,,0,26,1,,,1,2,30,9,2022,Korea,,
WINDY  CITY,,,,7,,,,,,0,22,1,,,1,2,26,9,2022,Korea,,
EL  GUERRERO,,,,12,,,,,,2,27,1,,,1,2,31,9,2022,Korea,,
TURTLE  COVE,,,,10,,,,,,0,11,1,,,1,2,15,9,2022,Korea,,
DAEGU,,,,10,,,,,,7,125,6,,,6,12,149,9,2022,Korea,,
,,,,5,,,,,,0,,,,,,,,9,2022,Korea,,
IMPACT   ZONE,,,,61,,,,,,2,24,,,,1,,25,9,2022,Korea,,
WARRIOR'S,,,,2,,,,,,0,14,,,,1,,15,9,2022,Korea,,
CASEY   B/C,,,,6,,,,,,2,24,,,,1,,25,9,2022,Korea,,
CASEY   LODGE,,,,3,,,,,,0,11,,,,1,,12,9,2022,Korea,,
UIJEONGBU,,,,21,,,,,,4,73,,,,4,,77,9,2022,Korea,,
FLIGHTLINE,,,,4,,,,,,0,10,1,,,1,1,13,9,2022,Korea,,
CAVE,,,,16,,,,,,0,41,1,,,2,2,46,9,2022,Korea,,
HUMPHREYS   B/C,,,,6,,,,,,0,14,1,,,1,2,18,9,2022,Korea,,
MORNING   CALM,,,,16,,,,,,3,68,1,,,2,2,73,9,2022,Korea,,
PYEONGTAEK,,,,6,,,,,,3,133,4,,,6,7,150,9,2022,Korea,36.992108,127.11294
ARMSTRONG'S,2,194,Army,15,4,10,-,12,4,-,45,1,,,2,2,50,10,2022,Europe,,
LCCC,2,195,Army,10,3,5,-,10,2,-,30,1,,,2,2,35,10,2022,Europe,,
KAZABRA,2,196,Army,6,-,4,-,-,2,-,12,1,,,1,2,16,10,2022,Europe,,
STRIKERS,2,218,Army,9,4,7,2,8,3,-,33,1,,,2,2,38,10,2022,Europe,,
GOLD MINE,2,1038,Army,9,4,3,3,3,-,-,22,1,,,2,2,27,10,2022,Europe,,
ROB JAVA CAFE,2,2887,Army,6,-,3,1,1,1,-,12,1,,,1,2,16,10,2022,Europe,,
SEMBACH C/C,2,3072,Army,7,-,2,-,7,3,-,19,1,,,2,2,24,10,2022,Europe,49.511398,7.864983
EDO_CARD_LAB,2,3170,Army,-,-,-,-,-,-,-,0,-,,,-,-,0,10,2022,Europe,,
KAISERSLAUTERN,0,0,,62,15,34,6,41,15,-,173,7,,,12,14,206,10,2022,Europe,,
,0,0,,0,,,,,,,,,,,,,,10,2022,Europe,,
LIVORNO C/C,4,330,Army,3,3,-,4,3,-,3,16,1,,,2,2,21,10,2022,Europe,43.548473,10.310567
ARENA B/C,4,2895,Army,13,5,6,3,10,4,-,41,1,,,2,2,46,10,2022,Europe,,
DEL DIN C/C,4,3132,Army,3,-,5,1,7,-,-,16,1,,,1,1,19,10,2022,Europe,,
VICENZA,0,0,,19,8,11,8,20,4,3,73,3,,,5,5,86,10,2022,Europe,45.545479,11.535421
EDELWEISS,10,2489,Army,2,3,3,-,7,-,-,15,1,,,2,2,20,10,2022,Europe,,
GARMISCH,0,0,,2,3,3,-,7,-,-,15,1,,,2,2,20,10,2022,Europe,47.491695,11.095498
,0,0,,0,,,,,,,,,,,,,,10,2022,Europe,,
ACTION LANES,31,437,Army,6,-,2,2,8,2,-,20,1,,,1,2,24,10,2022,Europe,,
STORCK BRK B/C,31,438,Army,6,-,3,1,4,2,-,16,1,,,1,2,20,10,2022,Europe,,
ANSBACH,0,0,,12,-,5,3,12,4,-,36,2,,,2,4,44,10,2022,Europe,49.300425,10.571936
,0,0,,0,,,,,,,20,1,,,2,2,25,10,2022,Europe,,
THE ANCHOR,39,2618,Navy,16,2,-,-,2,-,-,,,,,,,,10,2022,Europe,,
SOUDA BAY,0,0,,16,2,-,-,2,-,-,20,1,,,2,2,25,10,2022,Europe,,
,0,0,,0,,,,,,,,,,,,,,10,2022,Europe,,
SIG B/C,40,2595,Navy,7,2,5,3,4,-,-,21,1,,,1,1,24,10,2022,Europe,,
JOX SPORTS BAR,40,2597,Navy,10,2,2,2,3,-,-,19,1,,,2,2,24,10,2022,Europe,,
SIGONELLA,0,0,,17,4,7,5,7,-,-,40,2,,,3,3,48,10,2022,Europe,,
,0,0,,0,,,,,,,,,,,,,,10,2022,Europe,,
CAPO OLDE TOWN,42,2588,Navy,9,-,6,1,4,2,-,22,1,,,1,2,26,10,2022,Europe,,
NAPLES B/C,42,2591,Navy,5,1,3,2,9,5,-,25,1,,,1,2,29,10,2022,Europe,40.851775,14.268124
NAPLES,0,0,,14,1,9,3,13,7,-,47,2,,,2,4,55,10,2022,Europe,40.851775,14.268124
,0,0,,0,,,,,,,,,,,,,,10,2022,Europe,,
LA PLAZA,43,2600,Navy,13,4,2,-,6,4,-,29,1,,,1,2,33,10,2022,Europe,,
PINZ,43,2601,Navy,3,-,6,1,5,1,-,16,1,,,1,2,20,10,2022,Europe,,
ROTA FLEET CTR,43,2605,Navy,3,-,-,2,-,-,-,5,1,,,1,1,8,10,2022,Europe,36.62629,-6.362981
NGIS ROTA,43,2890,Navy,4,-,3,-,2,1,-,10,1,,,1,1,13,10,2022,Europe,36.62629,-6.362981
ROTA,0,0,,23,4,11,3,13,6,-,60,4,,,4,6,74,10,2022,Europe,36.62629,-6.362981
,0,0,,0,,,,,,,,,,,,,,10,2022,Europe,,
PATCH C/C,45,256,Army,15,3,6,3,16,5,-,48,1,,,2,2,53,10,2022,Europe,,
KELLY C/C,45,280,Army,10,-,3,1,4,1,-,19,1,,,1,1,22,10,2022,Europe,,
GALAXY B/C,45,298,Army,6,2,3,1,7,2,-,21,1,,,1,1,24,10,2022,Europe,,
STUTTGART,0,0,,31,5,12,5,27,8,-,88,3,,,4,4,99,10,2022,Europe,48.775418,9.181759
,0,0,,0,,,,,,,,,,,,,,10,2022,Europe,,
GRAF E/C,46,413,Army,14,4,5,4,9,2,-,38,1,,,2,2,43,10,2022,Europe,,
HOHENFELS B/C,46,415,Army,4,4,6,-,6,-,-,20,1,,,2,2,25,10,2022,Europe,49.203278,11.849022
VILSECK B/C,46,417,Army,7,-,-,2,4,-,-,13,1,,,1,1,16,10,2022,Europe,,
LANGENBRUCK,46,1858,Army,13,4,4,-,12,-,-,33,1,,,2,2,38,10,2022,Europe,49.991466,8.663401
ALGIER R/C,46,3145,Army,-,-,-,-,-,-,-,0,-,,,-,-,0,10,2022,Europe,,
VILSECK,0,0,,38,12,15,6,31,2,-,104,4,,,7,7,122,10,2022,Europe,,
,0,0,,0,,,,,,,,,,,,,,10,2022,Europe,,
THE VAULT,47,1669,Army,10,4,4,-,11,2,-,31,1,,,2,2,36,10,2022,Europe,,
LIBERTY GAMES,47,1881,Army,7,-,7,-,5,1,-,20,1,,,1,1,23,10,2022,Europe,,
WIESBADEN E/C,47,2976,Army,9,4,4,1,6,2,-,26,-,,,1,-,27,10,2022,Europe,,
ACE'S GAME RM,47,3108,Army,6,1,2,-,-,1,-,10,1,,,1,1,13,10,2022,Europe,,
WIESBADEN,0,0,,32,9,17,1,22,6,-,87,3,,,5,4,99,10,2022,Europe,,
,0,0,,0,,,,,,,.,,,,,,,10,2022,Europe,,
,0,0,,0,,,,,,,,,,,,,,10,2022,Japan,,
YOKOSUKA B/C,18,3146,Navy,8,4,3,-,6,1,-,22,1,,,1,2,26,10,2022,Japan,35.281341,139.6722
CLUB ALLIANCE,18,3147,Navy,7,5,2,1,12,2,-,29,1,,,1,2,33,10,2022,Japan,,
CPO CLUB,18,3148,Navy,7,-,3,-,1,1,-,12,1,,,1,2,16,10,2022,Japan,,
TAKEMIYA CLUB,18,3149,Navy,4,-,-,1,-,1,-,6,1,,,1,2,10,10,2022,Japan,,
OFFICERS CLUB,18,3150,Navy,6,-,2,2,1,2,-,13,1,,,1,2,17,10,2022,Japan,,
SEASIDE CLUB,18,3151,Navy,4,8,4,2,13,1,-,32,1,,,1,2,36,10,2022,Japan,,
YOKOSUKA,0,0,,36,17,14,6,33,8,-,114,6,,,6,12,138,10,2022,Japan,35.281341,139.6722
,0,0,,0,,,,,,,,,,,,,,10,2022,Japan,,
,0,0,,0,,,,,,,,,,,,,,10,2022,Japan,,
HARBOR VIEW,19,3096,Navy,8,6,3,4,5,1,-,27,1,,,1,2,31,10,2022,Japan,,
HARIO,19,3097,Navy,3,6,2,3,-,1,-,15,1,,,1,2,19,10,2022,Japan,,
GALAXIES,19,3098,Navy,7,6,8,-,5,3,-,29,1,,,1,2,33,10,2022,Japan,,
SASEBO,0,0,,18,18,13,7,10,5,-,71,3,,,3,6,83,10,2022,Japan,33.179915,129.71511
,0,0,,0,,,,,,,,,,,,,,10,2022,Japan,,
ZAMA C/C,22,883,Army,10,5,4,2,8,3,-,32,1,,,1,1,35,10,2022,Japan,35.488587,139.40767
SHA CLUB,22,885,Army,5,2,2,2,-,-,-,11,1,,,1,1,14,10,2022,Japan,,
ZAMA B/C,22,886,Army,5,-,1,2,-,-,-,8,1,,,1,1,11,10,2022,Japan,35.488587,139.40767
ROAD HOUSE,22,1127,Marine Corps,7,-,-,-,-,-,-,7,1,,,1,1,10,10,2022,Japan,,
SANNO HOTEL,22,2664,Navy,12,6,4,2,8,-,-,32,1,,,1,2,36,10,2022,Japan,,
CORNER POCKET,22,3078,Navy,10,-,2,2,3,-,-,17,1,,,1,1,20,10,2022,Japan,,
CLUB TRILOGY,22,3079,Navy,8,6,2,2,8,-,-,26,1,,,1,2,30,10,2022,Japan,,
ZAMA G/C,22,3165,Army,4,4,3,1,3,-,-,15,1,,,1,1,18,10,2022,Japan,35.488587,139.40767
ZAMA,0,0,,61,23,18,13,30,3,-,148,8,,,8,10,174,10,2022,Japan,35.488587,139.40767
,0,0,,0,,,,,,,,,,,,,,10,2022,Japan,,
HAVANA'S,26,967,Army,2,-,1,2,-,1,-,6,1,,,1,1,9,10,2022,Japan,,
HASHMARKS,26,1105,Marine Corps,6,-,6,4,4,-,-,20,1,,,1,2,24,10,2022,Japan,,
COURTNEY B/C,26,1107,Marine Corps,3,-,6,2,2,2,-,15,1,,,1,2,19,10,2022,Japan,,
TAIYO G/C,26,1109,Marine Corps,21,9,10,-,11,2,-,53,1,,,2,2,58,10,2022,Japan,,
BUTLER B/C,26,1111,Marine Corps,4,7,2,1,10,2,-,26,1,,,1,2,30,10,2022,Japan,,
