,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep
Port Call NAFI,458,915,"1,256","1,154","1,378","2,160","2,374","14,118","6,534",478,"3,331","1,430"
Camp Fuji,,,,,,,,,,,,
Road House NAFI,"3,204","1,375","1,195","2,150","2,456",0,533,"3,415","3,000","2,728","2,955","5,460"
Camp Zama,,,,,,,,,,,,
SHA Club NAFI,"1,001",956,846,768,639,39,"1,769",640,"1,132",387,"1,036",0
Zama Bowl NAFI,0,259,917,"2,311","2,022",412,"1,994","2,216","2,327","2,319","2,124",768
Zama Community Club NAFI,"21,877","19,913","20,304","17,285","10,259","11,506","15,184","16,478","21,934","15,627","27,577","20,871"
Zama Golf Course NAFI,"1,793","1,386","1,401","1,590","1,522","2,773","3,070","1,770","3,174","2,301",514,"3,121"
Navy Sanno Hotel,,,,,,,,,,,,
Sanno Hotel NAFI,"44,683","86,072","59,870","104,618","47,023","41,035","60,168","94,284","56,843","47,767","89,486","60,301"
Corner Pocket NAFI,"11,956","5,775","10,608","13,767",0,0,0,938,"13,921","14,875","15,122","22,965"
Club Trilogy NAFI,"62,734","20,685","44,871","30,038","113,148","136,478","89,367","69,902","96,740","62,773","95,213","58,729"
Sasebo,,,,,,,,,,,,
Harbor View Club NAFI,"42,551","84,317","60,711","67,093","32,226","48,262","91,349","103,597","49,901","26,776","80,097","51,257"
Hario NAFI,"11,365","15,336","7,794","6,333","19,419","30,952","22,485","24,770","11,433","23,543","30,363","16,472"
Galaxies NAFI,"55,363","86,319","49,509","61,180","62,223","56,145","103,126","62,815","63,414","48,157","83,655","99,173"
Yokosuka,,,,,,,,,,,,
Yokosuka B/C NAFI,"79,052","47,128","63,712","78,668","54,570","61,538","28,461","58,011","8,778","77,635","66,171","92,924"
Club Alliance NAFI,"138,426","129,450","113,885","125,459","113,206","233,633","185,719","179,091","54,020","84,223","99,066","103,261"
CPO Club NAFI,"25,115","18,313","16,880","26,399","22,719","14,892","21,107","58,970","26,836","18,072","29,512","10,523"
Takemiya Club NAFI,"6,310","1,476","3,204","2,079","8,229","15,050","14,855","3,933","10,702","9,196","10,120","8,729"
Officers Club NAFI,"31,796","21,688","30,745","5,101","35,533","50,610","39,901","25,533","42,614","34,913","37,384","30,434"
SeaSide Club NAFI,"64,401","120,358","80,121","154,518","155,727","163,030","101,314","147,252","97,785","104,164","123,763","131,910"
,,,,,,,,,,,,
Total Japan NAFI Reimburse.,"1,426,418","1,571,493","1,343,963","1,696,468","1,687,533","1,819,068","1,697,820","2,001,155","1,409,518","1,370,095","1,433,749","1,668,621"
,,,,,,,,,,,,
Total Far East NAFI Reimburse,"1,817,889","1,982,019","1,739,237","2,070,122","2,049,268","2,205,014","2,113,903","2,448,245","1,789,252","1,700,673","1,850,429","2,072,078"
,,,,,,,,,,,,
,23-Oct,23-Nov,23-Dec,24-Jan,24-Feb,24-Mar,24-Apr,24-May,24-Jun,24-Jul,24-Aug,24-Sep
,,,,,,,,,,,,
Slot Revenue,,,,,,,,,,,,
Terror Club,-43,"2,781","1,210","8,474","2,031","7,631","1,104",0,0,0,0,0
Camp Humphreys,,,,,,,,,,,,
Flightline,"236,424","353,456","273,151","213,592","565,280","326,830","358,584",0,0,0,0,0
Flighline Ta,"-10,045","-3,367","13,412",0,"-15,659","1,691","6,911",0,0,0,0,0
Morning C,"762,860","736,252","602,095","857,903","550,858","656,295","1,060,375",0,0,0,0,0
Humphrey,"36,174","33,067","28,949","24,140","14,369","26,211","41,639",0,0,0,0,0
Seoul,,,,,,,,,,,,
K-16 Comm,"12,799","9,897","7,194","2,491","17,702","14,835","8,838",0,0,0,0,0
AFRC Dragon Hill Lodge,,,,,,,,,,,,
Dragon Hill,"374,491","259,315","179,998","586,917","214,813","485,681","304,200",0,0,0,0,0
Navy Seoul,,,,,,,,,,,,
Daegu,,,,,,,,,,,,
El Guerrero,"28,169","29,922","7,176","71,856","53,377","28,818","41,480",0,0,0,0,0
Evergreen,"16,486","-2,183","-2,902","22,393","21,804","23,167","31,268",0,0,0,0,0
State's Gril,"1,061","2,257","8,144","2,800","1,612","5,254","10,297",0,0,0,0,0
Perimeter,"27,594","39,550","38,787","34,221","40,976","42,541","30,819",0,0,0,0,0
Hilltop,"-11,797","37,893","98,803","95,745","153,929","106,568","98,297",0,0,0,0,0
Mountain,0,"5,710","1,416",-18,569,217,-24,0,0,0,0,0
Navy Pusan,,,,,,,,,,,,
Turtle Cove,"21,450","16,072","49,470","27,247","3,050","18,170","21,568",0,0,0,0,0
Casey / Hovey,,,,,,,,,,,,
Casey Bow,"23,895","36,660","48,409","39,576","42,549","12,573","28,816",0,0,0,0,0
Casey Lodg,"81,754","64,091","56,862","100,655","63,423","55,948","114,488",0,0,0,0,0
Gateway C,"97,168","73,064","56,225","97,972","108,145","56,914","76,913",0,0,0,0,0
Warrior's,"17,925","7,329","51,320","31,488","28,388","28,209","19,119",0,0,0,0,0
Uijongbu Corridor,,,,,,,,,,,,
,,,,,,,,,,,,
