,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep
Club Trilogy NAFI,"116,424","101,378","113,034","76,136","73,387","108,053","120,867","50,673","58,372","70,995","35,717","81,963"
Sasebo,,,,,,,,,,,,
Harbor View Club NAFI,"44,154","53,243","58,254","65,061","49,532","69,514","71,700","80,231","107,665","54,492","59,521","74,748"
Hario NAFI,"16,335","31,520","27,568","20,877","21,414","20,451","31,020","19,993","22,984","21,214","14,336","32,987"
Galaxies NAFI,"41,427","91,423","112,550","54,140","46,932","124,888","97,814","85,483","91,969","46,719","48,154","91,311"
Yokosuka,,,,,,,,,,,,
Yokosuka B/C NAFI,0,0,"1,744",0,"4,824","5,523","3,355","5,512","38,211","41,742","7,282","74,834"
Club Alliance NAFI,"7,959","54,394","86,431","7,657","40,159","65,727","174,230","70,402",370,"49,128","107,651","131,847"
CPO Club NAFI,"29,707","21,830","22,352","8,322","24,547","28,929","24,296","13,098","20,768","13,742","27,874","36,708"
Takemiya Club NAFI,"1,783","2,607","13,606","4,725","2,646","1,417","12,288","10,369","7,328","4,552","13,729","7,435"
Officers Club NAFI,0,0,"6,256",0,"18,220","7,823","25,516","28,088","32,222","34,330","16,364","12,554"
SeaSide Club NAFI,"207,279","178,797","197,593","66,036","119,910","276,760","178,736","170,591","170,527","143,463","141,153","104,206"
,,,,,,,,,,,,
Total Japan NAFI Reimburse.,"1,474,277","1,620,459","1,683,000","789,324","1,180,914","1,885,120","1,655,538","1,467,941","1,613,739","1,423,648","1,498,238","1,605,778"
Total Far East NAFI Reimburse,"1,877,470","1,966,721","2,140,869","1,068,389","1,570,928","2,347,100","2,122,277","1,888,398","2,028,766","1,797,311","1,893,712","1,970,391"
,,,,,,,,,,,,
,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep
,,,,,,,,,,,,
Slot Revenue,,,,,,,,,,,,
Ansbach,,,,,,,,,,,,
Action Lanes,"16,729","24,341","15,794","22,867","28,120","96,831","44,084","56,182","38,309","23,137","77,785","35,513"
Storck Barracks Bowl,"-5,961","27,375","8,753","17,089","16,127","22,051","48,255","33,995","21,925","29,744","35,666","28,178"
Bamberg,,,,,,,,,,,,
Baumholder,,,,,,,,,,,,
Strikers,"54,594","20,942","29,266","13,563","28,111","129,914","57,837","42,578","49,418","2,324","121,187","48,980"
Garmisch,,,,,,,,,,,,
Edelweiss Lodge & Resort,"32,616","26,943","8,285","-3,107","15,880","29,480","5,144","12,559","28,013","-5,460","5,897","25,191"
Grafenwoehr,,,,,,,,,,,,
Entertainment Center Graf.,"26,657","46,377","91,481","55,812","59,831","19,844","65,461","83,237","104,940","70,220","115,210","39,516"
Vilseck Bowl,"9,625","10,999","-1,854","13,488","6,032","7,338","5,125","9,403","-3,383","6,870","9,611","10,547"
Langenbruck Center,"37,087","32,510","50,538","38,158","48,404","62,437","27,452","21,254","45,573","43,477","50,558","12,181"
Heidelberg,,,,,,,,,,,,
Hohenfels,,,,,,,,,,,,
Hohenfels Bowl,"46,486","100,301","61,050","44,633","47,229","39,416","49,028","57,117","45,692","21,591","-4,269","22,774"
Kaiserslautern,,,,,,,,,,,,
Armstrong's,"95,601","132,825","145,937","21,720","124,277","175,509","214,263","130,149","127,822","119,068","139,913","140,940"
Kazabra,0,"12,993",0,0,"1,664","8,795","3,511","-3,354","7,846","12,123","-2,179","17,747"
Landstuhl Consolidated Club,"43,133","82,417","143,943","69,976","39,723","73,734","60,107","100,695","74,651","94,058","69,921","55,155"
ROB Java Cafe,"24,019",368,"10,968","10,216","5,260","3,392","5,706","-5,117","61,471","41,235","50,799","14,303"
Sembach CC,"62,590","67,105","65,880","49,591","47,157","85,570","23,282","62,016","49,698","48,866","84,747","36,424"
Livorno,,,,,,,,,,,,
Livorno Community Club,"10,059",281,"17,155","31,870","13,141","14,712","11,259","1,735","3,300","1,853","4,386",368
Mannheim,,,,,,,,,,,,
Schinnen,,,,,,,,,,,,
The Gold Mine,"2,201","6,277","9,137","5,227","7,276",0,"9,898","17,936","15,382","12,754","1,123","-16,270"
Schweinfurt,,,,,,,,,,,,
Stuttgart,,,,,,,,,,,,
Galaxy Bowl,"27,856","32,692","14,865","23,532","13,605","36,836","7,077","3,560","18,288","-10,746","54,894","38,333"
Kelley Community Club,"53,160","77,747","91,043","29,217","62,076","123,727","-34,712","135,245","48,947","73,729","56,214","54,937"
Patch Community Casino,"89,047","139,434","123,842","152,811","122,071","175,039","113,651","163,788","215,896","38,482","187,047","62,411"
Vicenza,,,,,,,,,,,,
Arena Bowl,"45,485","76,818","78,031","92,034","42,387","134,020","68,427","50,709","61,752","64,279","115,125","47,280"
Del Din C/C,"8,195",0,0,381,"6,674","1,920","10,656","26,277","7,387","9,474","13,057","8,421"
Wiesbaden,,,,,,,,,,,,
Vault Club & Casino,"77,333","220,956","112,652","132,856","84,330","242,179","93,806","220,223","147,832","51,039","141,640","132,397"
Wiesbaden Ent Center,"41,647","64,330","26,934","47,437","49,801","62,779","36,075","67,148","82,706","29,695","102,989","71,984"
Liberty Games,"46,304","38,059","37,185","33,125","37,407","84,368","21,637","53,450","39,340","50,539","38,010","86,377"
Ace's Game Room,"5,379","12,716","27,899","9,725","28,261","20,348","15,887",903,"47,093","17,123","5,455","15,712"
,,,,,,,,,,,,
,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep
,,,,,,,,,,,,
Navy Greece,,,,,,,,,,,,
The Anchor,0,0,0,0,0,0,0,0,"2,869","21,027","10,207","7,766"
Navy Naples,,,,,,,,,,,,
Capo Olde Town Slots,"20,224","30,798","-7,205","3,125","47,807","39,005","15,975","30,057","-12,561",-992,"53,225","23,906"
Naples Bowl,"47,357","80,037","60,912","-4,541","119,611","10,249","121,305","105,702","68,708","42,749","68,438","80,062"
Navy Rota,,,,,,,,,,,,
NGIS Rota,"15,242","12,692","4,704","16,215","3,950","8,893","7,033","-14,494","5,296",0,0,"18,064"
La Plaza,"50,550","55,077","37,548","29,692","49,947","70,196","63,533","91,723","84,895","66,239","78,903","61,233"
Pinz,0,"7,094","24,989","9,436","27,476","32,707","6,545","11,058","15,430","11,512","9,728","9,897"
Rota Fleet Center,"1,740","3,545","3,384",0,"5,600","4,491","6,018","2,269",96,0,"1,327","3,745"
Navy Sigonella,,,,,,,,,,,,
Jox Sports Bar,"7,582","16,429","14,480","9,431","12,037","21,790","17,219","28,588","8,697","11,048","1,944","7,574"
Sigonella Bowl,"9,885","33,490","17,591","47,742","76,992","71,913","52,540","17,767","38,588","76,456","51,973","57,962"
Air Force,,,,,,,,,,,,
Total Slot Revenue,"1,002,422","1,493,968","1,325,187","1,023,321","1,278,264","1,909,483","1,253,084","1,614,358","1,551,916","1,073,513","1,750,531","1,259,608"
Slot NAFI Reimbursement,,,,,,,,,,,,
Ansbach,,,,,,,,,,,,
Action Lanes NAFI,"3,346","4,868","3,436","4,997","7,119","17,170","9,059","10,994","7,935","7,312","12,599","7,103"
Storck Barracks Bowl NAFI,"3,670",613,"1,751","3,418","3,225","4,410","10,244","6,206","4,385","5,949","7,133","5,636"
Bamberg,,,,,,,,,,,,
Baumholder,,,,,,,,,,,,
Strikers NAFI,"10,919","4,188","9,799","2,532","7,029","20,811","11,567","8,516","9,884","5,811","18,891","9,796"
Garmisch,,,,,,,,,,,,
Edelweiss Lodge & Resort NAFI,"6,818","5,140","2,198","4,063",0,"4,686",829,"3,071","4,677",0,"2,511","3,832"
Grafenwoehr,,,,,,,,,,,,
Entertainment Ctr Graf. NAFI,"7,899","9,913","15,092","11,162","11,966","6,979","15,915","18,624","12,457","17,981","19,105","9,402"
Vilseck Bowl NAFI,"1,925","2,200",529,"2,171",833,"1,468","1,025","1,881",0,982,"1,638","2,109"
Langenbruck Center NAFI,"7,417","8,551","8,059","7,632","9,681","12,487","5,490","7,675","5,690","8,695","10,112","2,436"
Heidelberg,,,,,,,,,,,,
Hohenfels,,,,,,,,,,,,
Hohenfels Bowl NAFI,"9,329","19,025","12,210","8,927","9,446","8,407","11,276","9,429","9,138","4,687",833,"3,577"
,,,,,,,,,,,,
,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep
,,,,,,,,,,,,
Armstrong's NAFI,"19,120","26,565","29,187","11,860","27,516","24,925","42,853","26,030","25,564","23,814","27,983","28,188"
Kazabra NAFI,0,"2,599",0,0,333,"1,759","1,022",980,465,"1,958","1,375","1,339"
Landstuhl CCC NAFI,"9,576","13,655","24,379","13,995","7,945","14,747","17,895","14,523","14,673","18,812","20,747","9,758"
ROB Java Cafe NAFI,"4,804",74,"2,194","2,043","1,052",985,"3,218","1,570","7,317","8,247","10,160","4,060"
Sembach CC NAFI,"12,518","13,421","13,176","15,791","9,189","11,483","4,656","12,403","9,940","9,773","16,949","7,285"
Livorno,,,,,,,,,,,,
Livorno Community Club NAFI,"2,012",348,"3,139","6,374","2,628","2,942","2,252",778,229,371,877,674
Mannheim,,,,,,,,,,,,
Schinnen,,,,,,,,,,,,
The Gold Mine NAFI,440,"1,255","1,827","1,045","1,455",0,"1,980","3,587","3,076","2,551",225,970
Schweinfurt,,,,,,,,,,,,
Stuttgart,,,,,,,,,,,,
Galaxy Bowl NAFI,"5,571","6,539","3,216","4,463","2,721","8,011","1,415",712,"4,947","1,281","6,259","7,667"
Kelley Community Club NAFI,"13,621","9,857","18,209","5,843","12,415","27,137",94,"16,980","9,789","14,746","14,757","9,674"
Patch Community Casino NAFI,"21,946","24,038","30,570","29,964","22,549","32,177","30,768","28,879","44,184","9,787","30,155","18,013"
Vicenza,,,,,,,,,,,,
Arena Bowl NAFI,"9,097","15,364","19,338","16,743","12,608","20,605","13,685","10,142","12,350","17,411","18,470","9,456"
Del Din C/C NAFI,"1,639",0,0,76,"1,335",323,"2,131","5,255","1,477","1,895","2,611","1,684"
Wiesbaden,,,,,,,,,,,,
Vault Club & Casino NAFI,"17,420","40,335","26,060","27,536","20,273","43,759","18,577","41,003","29,566","16,773","22,715","30,511"
Wiesbaden Ent Center NAFI,"8,330","12,866","7,008","9,001","13,995","7,386","11,979","10,600","15,046","7,921","18,083","14,397"
Liberty Games NAFI,"9,261","7,612","7,437","6,908","8,268","15,804","4,327","10,690","8,546","9,429","8,473","16,404"
Ace's Game Room NAFI,"1,076","2,543","5,580","1,945","5,652","4,070","3,177","2,002","7,597","3,425","1,091","3,142"
Navy Greece,,,,,,,,,,,,
The Anchor NAFI,0,0,0,0,0,0,0,0,"4,362","12,366","7,145","5,436"
Navy Naples,,,,,,,,,,,,
Capo Olde Town Slots NAFI,"14,157","21,559","7,668","13,020","16,304","35,564","11,182","21,040","24,526",78,"19,127","16,734"
Naples Bowl NAFI,"40,275","44,304","45,846","32,914","43,431","55,708","46,135","49,379","49,875","43,392","35,123","55,512"
Navy Rota,,,,,,,,,,,,
NGIS Rota NAFI,"11,675","8,865","3,741","9,917","3,640","5,350","4,923","2,560","1,512",0,0,"2,134"
La Plaza NAFI,"33,569","38,554","27,761","23,034","34,627","46,754","71,996","36,811","59,427","51,515","58,165","43,050"
Pinz NAFI,0,"8,730","17,492","6,605","10,621","22,895","4,581","7,741","10,801","8,058","6,810","6,928"
Rota Fleet Center NAFI,"1,218","2,482","2,369",0,"3,920","3,144","4,213","1,588",67,0,929,"2,622"
Navy Sigonella,,,,,,,,,,,,
Jox Sports Bar NAFI,"5,307","11,501","10,136","6,602","8,426","15,253","12,054","20,012","6,088","7,734","6,663",0
Sigonella Bowl NAFI,"10,531","19,831","16,974","32,555","56,567","43,871","36,778","34,113","9,274","52,158","33,804","40,573"
Air Force,,,,,,,,,,,,
Total Slot NAFI Reimbursement,"-304,486","-387,395","-376,381","-323,136","-376,769","-521,070","-417,296","-425,774","-414,864","-374,912","-441,518","-380,102"
